번호,의안번호,법률안명,제안자구분,소관위원회,주요내용,의견수,date
1,2212765,자본시장과 금융투자업에 관한 법률 일부개정법률안 (김현정의원 등 10인),의원,정무위원회,"제안이유 및 주요내용



  현행법상 증권의 모집 또는 매출은 그 모집 또는 매출에 관한 신고서가 금융위원회에 수리된 이후 가능하고, 금융위원회가 증권신고서를 수리하면 해당 주권에 대한 수요예측 등을 거쳐 공모가를 결정하고 상장하는 순서로 기업공개(IPO) 절차가 진행됨.

  그러나 당초 수요예측 등을 통하여 기업가치에 부합하는 공모가를 산정함으로써 장기적 투자가 이루어지도록 하려는 기업공개의 취지에도 불구하고, 수요예측 시에 높은 가격을 제시하여 공모주를 배정받은 투자자들이 상장 후 큰 가격변동 속에서 단기차익 목적으로 다수 매도하는 경우가 이어지며 공모가가 왜곡되고 있다는 비판이 제기됨.

  이에 증권신고서 등 수리 이전에도 특정 전문투자자 대상으로 사전수요예측을 실시할 수 있도록 하고 일정 기간 보호예수를 전제로 공모주 일부를 사전에 배정하는 코너스톤투자자(Cornerstone Investor) 제도를 도입하는 등 주가 형성의 안정성을 높이고 장기적 투자의 활성화를 도모하려는 것임(안 제119조의3부터 제119조의6까지 신설 등).",8227,20250908
2,2212709,자본시장과 금융투자업에 관한 법률 일부개정법률안 (김승원의원 등 10인),의원,정무위원회,"제안이유 및 주요내용



  “주권 관련 사채권”이란 장래에 발행 기업의 주식으로 전환되거나 주식을 인수할 수 있는 권리가 부여된 채권으로서 주권상장법인이 자금조달을 위해 활용하는 수단 중의 하나임. 현행법상 주권 관련 사채권은 공모 또는 사모의 방법으로 발행할 수 있으나 절차가 간소하고 규제가 적은 사모의 방식이 주로 활용되고 있음.

  그런데 주권 관련 사채권이 사모의 방식으로 발행될 경우 특정 소수의 투자자에게만 기회가 집중되어 기존 주주들의 자본희석이라는 권익 침해가 발생할 수 있는 반면 이에 대한 보호조치는 미흡하다는 문제점이 있음.

  이에 주권 관련 사채권 발행 시 불특정 다수를 대상으로 하는 공모의 방식을 우선하도록 하여 투자자의 이익을 보호하고 시장의 공정성과 투명성을 제고하려는 것임(안 제165조의10제3항 신설).",8189,20250905
3,2212501,자본시장과 금융투자업에 관한 법률 일부개정법률안 (김현정의원 등 12인),의원,정무위원회,"제안이유



  「상법」에서는 주식양수도 방식이 아닌 합병 또는 영업양수도의 경우 주주총회 결의 및 주식매수청수권 등 일반주주의 권익을 보호하기 위한 장치를 규정하고 있음.

  반면, 기업의 인수ㆍ합병 방식으로 대부분을 차지하고 있는 주식양수도 방식에서는 인수인이 주식을 양수하여 피인수인에게 지불하는 경영권 프리미엄이 모든 주주에게 공유되지 않고 있음. 이로 인해 경제적 실질이 동일한 기업의 경영권 이전임에도 불구하고 합병 등의 방식과 달리 주식양수도의 경우 주주에 대한 보호가 미흡하다는 문제점이 발생하고 있음.

  이에 의무공개매수제도를 도입하여 피인수회사의 모든 주주에게 주식양수도 방식의 인수ㆍ합병과정에서 보유주식을 매각할 수 있는 기회를 부여함으로써 주주의 보호를 두터이 하고자 함.





주요내용



가. 주식등을 선행매수한 자가 보유하게 되는 주식등의 수의 합계가 그 주식등의 총수의 100분의 25 이상이 되는 경우 잔여 주식등 전부에 대하여 공개매수를 하도록 함(안 제133조제4항 신설).

나. 의무공개매수가격은 선행매수 가격과 기업의 순자산가치 등을 고려하여 대통령령으로 정하는 바에 따라 산정된 가격 이상으로 정하도록 함(안 제141조제3항 신설).

다. 의무공개매수 사유가 발생한 날부터 공개매수를 완료하기 전까지 대통령령으로 정하는 기간 동안 선행매수한 주식에 대한 의결권을 행사할 수 없도록 함(안 제145조제2항 신설).",8364,20250829
4,2212222,자본시장과 금융투자업에 관한 법률 일부개정법률안 (한창민의원 등 11인),의원,정무위원회,"제안이유



  현행법은 공모펀드와 사모펀드를 구별하여 규율하고 있으며, 사모펀드를 다시 일반 사모펀드와 기관전용 사모펀드로 구분하여 투자자 보호 및 감독 규제를 달리 적용하고 있음.

  2021년 라임ㆍ옵티머스 사태 이후 일반 사모펀드에 대해 투자자 설명의무 및 감독기관 보고의무가 일부 강화되었으나 여전히 형식적으로 운영되고 있으며 특히 기관전용 사모펀드에 대해서는 여전히 규제 사각지대가 발생하고 있음.

  이러한 상황에서 사모펀드가 높은 레버리지를 동원하여 기업을 인수한 후 재산을 유출하는 일이 반복되고 있음에도 불구하고 이를 사전에 통제하거나 사후적으로 감시할 수 있는 수단이 미비한 실정임.

  회원국이 그 내용에 따라야 할 의무가 있는 유럽연합의 대체투자펀드운용지침(AIFMD, Alternative Investment Fund Managers Directive)은 사모펀드의 레버리지, 사모펀드가 기업을 인수하여 자산을 유출하는 행위 등을 규제하고, 사모펀드 전반에 걸쳐 보고의무 및 공시의무를 통일적으로 적용하고 있음. 또한 EQT AB, CVC 캐피탈 등 유럽의 사모펀드들은 연례보고서 및 주요 운용정보를 홈페이지 등에 투자자 및 일반이 볼 수 있는 상태로 공개하고 있음.

  이에 사모펀드의 공시ㆍ보고의무에 대하여 유럽연합의 AIFMD를 참고하여 강화하는 한편, 이해상충 방지 및 레버리지 한도 등을 명확히 규율함으로써 사모펀드 자산운용의 투명성을 제고하고 국민경제에 미치는 부정적 파급효과를 차단하고자 함.





주요내용



가. 일반 사모집합투자기구의 차입금액 상한비율을 자본총액의 100분의 200으로 하향 조정하고, 경영권 참여 등을 위하여 다른 회사의 주식을 취득한 경우에는 그 다른 회사의 재무상황을 포함하여 총 차입한도가 적용되도록 함(안 제249조의7제1항ㆍ제8항).

나. 일반 사모집합투자업자가 다른 회사의 자산을 유출하기 위한 결의에 관하여는 집합투자재산으로 취득한 주식의 의결권을 그 취득일로부터 2년간 행사할 수 없도록 함(안 제249조의7제7항 신설).

다. 일반 사모집합투자업자 및 기관전용 사모집합투자기구의 업무집행사원이 지급받은 보수 등을 금융위원회에 보고하도록 함(안 제249조의7제3항 및 제249조의12제2항).

라. 일반 사모집합투자업자 및 기관전용 사모집합투자기구의 업무집행사원은 집합투자기구의 재무상황 및 지급받은 보수 등을 금융위원회가 정하는 바에 따라 공시하도록 함(안 제249조의7제9항 및 제249조의14제15항 신설).

마. 일반 사모집합투자업자 및 기관전용 사모집합투자기구의 업무집행사원에게 집합투자재산에 대한 자산운용보고서 작성ㆍ교부, 영업보고서 작성ㆍ제출 및 회계감사 의무를 부과함(안 제249조의8제1항ㆍ제2항, 제249조의14제14항 신설).

바. 사모집합투자기구와 투자대상기업 간 내부거래행위에 대한 이해상충방지체계를 갖추도록 하고, 일정 이상 규모의 내부거래행위에 대해 거래 내용 및 내부통제 절차 등을 금융위원회에 보고하도록 함(안 제249조의16제5항ㆍ제6항 신설).",9432,20250818
5,2212182,자본시장과 금융투자업에 관한 법률 일부개정법률안 (정혜경의원 등 12인),의원,정무위원회,"제안이유



  현행법은 사모펀드에 대하여 금전 차입을 허용하고 자산운용의 제한의 특례를 두는 등 공모펀드보다 완화된 규제를 적용하고 있음.

  그러나 최근 사모펀드가 과도한 레버리지를 활용하여 회사의 경영권을 인수한 뒤 단기적인 투자수익 극대화에만 집중하여 피인수기업의 재무건전성을 악화시키고 자본시장의 신뢰를 저하시키는 등 부작용을 발생시키고 있음. 이러한 단기 수익을 목적으로 한 사모펀드의 자산 수탈은 반복적으로 발생할 수 있다는 점에서 현행법에 사모펀드의 차입에 대한 규제 및 공시의무 등을 명확히 규정할 필요가 있다는 의견이 제기되고 있음.

  이에 사모펀드의 레버리지 비율을 합리적으로 축소하고 피인수기업의 기업인수행위를 규제하는 한편, 사모펀드가 피인수기업의 지분을 일정기간 의무 보유하도록 하고 펀드 투자자에 대한 사항을 공시하도록 함으로써 사모펀드 운용의 투명성을 높이고 피인수기업의 안정적 경영 및 투자자 보호를 강화하려는 것임.





주요내용



가. 일반 사모집합투자기구의 차입금액 상한을 자산총액에서 부채총액을 뺀 가액의 100분에 400에서 100분의 200으로 하향조정함(안 제249조의7제1항).

나. 일반사모집합투자업자가 경영권 참여 등을 위하여 다른 회사에 투자하는 경우 그 취득한 지분증권을 5년 이상 의무적으로 보유하도록 함(안 제249조의7제5항).

다. 일반 사모집합투자업자가 대통령령으로 정하는 일정 규모 이상의 다른 회사에 대한 경영권 참여 등을 위하여 투자하는 경우 그 사모집합투자기구의 투자자 성명 및 출자 비율 등을 공시하도록 함(안 제249조의7제7항 신설).

라. 일반 사모집합투자기구 또는 그가 투자한 투자목적회사가 투자한 다른 회사는 기업인수 행위를 할 수 없도록 하되, 미리 금융위원회의 승인을 얻은 경우에 한해 허용함(안 제249조의7제8항 신설).",9446,20250814
6,2212120,자본시장과 금융투자업에 관한 법률 일부개정법률안 (황운하의원 등 14인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 공시위반 및 시장질서 교란행위에 대한 과징금 사건이 불공정거래행위의 위반 혐의가 있다고 인정되는 경우 증권선물위원회가 검찰총장에게 이를 통보하도록 하고, 검찰총장이 그 위반한 자를 소추하기 위하여 관련 정보를 요구하는 경우 이를 제공할 수 있도록 하고 있음.

  그런데 검찰의 직접수사권 범위를 조정하는 내용으로 「검찰청법」 등이 개정되어 검찰의 직접수사가 가능한 대상범죄가 축소되었고, 검찰개혁 입법이 국회를 통과하면 검찰의 직접수사권은 폐지될 예정임에도 위 규정은 개정입법 취지를 충분히 반영하지 못하고 있어 법 체계상 개정이 필요하다는 의견이 제기되고 있음.

  이에 증권선물위원회가 불공정거래행위의 위반 혐의를 통보하거나 관련 정보를 제공하는 대상을 관할 수사기관의 장으로 변경하는 등 개정된 형사사법체계를 반영할 수 있도록 법 제도를 정비하려는 것임(안 제178조의3).





참고사항



  이 법률안은 박은정의원이 대표발의한 「공소청법안」(의안번호 제3354호), 차규근의원이 대표발의한 「수사절차법안」(의안번호 제3348호) 및 「형사소송법 일부개정법률안」(의안번호 제3355호), 황운하의원이 대표발의한 「중대범죄수사청법안」(의안번호 제3346호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정의결되는 경우에는 이에 맞추어 조정되어야 할 것임.",10206,20250812
7,2211824,자본시장과 금융투자업에 관한 법률 일부개정법률안 (김남근의원 등 24인),의원,정무위원회,"제안이유 및 주요내용



  최근 MBK-홈플러스 사태에서 나타난 바와 같이 사모펀드(사모집합투자기구)가 투자대상기업(홈플러스)의 자산을 담보로 한 차입인수(Leveraged Buyout, LBO)로 막대한 이자비용을 부담하게 하고, 인수 채무를 변제하여 자산(홈플러스 매장)을 매각하여 투자대상기업을 파산상태에 이르게 함으로써 노동자, 입점상인, 납품중소기업들도 함께 고용위기나 파산위기에 빠지게 하는 피해 사례가 빈발하고 있음.   

  “LBO 차입인수” 자체는 위기에 빠진 기업을 회생시키는 긍정적인 사례도 있고 제도에 대한 평가가 다양하나, 투자대상기업에 대한 지속적 경영을 목적으로 하지 않고, 단기간에 투자대상기업의 자산매각이나 과도한 배당을 통한 수익극대화를 추구하고 ‘exit’하는 사모펀드의 “LBO 차입인수”의 경우에는 투자대상기업의 부실화를 초래하는 경우가 많으므로 이에 대한 내부통제와 금융감독이 필요함.   

  기업인수용 사모펀드의 투자자(LP, 사원)는 대부분 국민연금이나 은행, 증권회사 등 사회적 책임투자(스튜어드십)를 지향하는 기관투자자들로서, MBK와 같은 운용사(LP, 업무집행사원)가 투자대상기업의 재무 상태를 악화시키거나 경영위기에 빠지게 하는 ‘LBO 차입인수’, 자산매각, 과잉배당 등의 행위를 하는 경우, 사회적 책임투자 원칙에 의해 행위의 중단이나 시정을 요구하는 내부 통제를 할 수 있음. 실제로, MBK-홈플러스 사태 이후 국민연금은 운용사들이 투자대상기업에 대한 지속가능한 성장 전략을 하는지 여부도 평가하겠다고 하고 있음. 그래서 기관전용 사모집합투자기구(사모펀드)의 운용사(GP, 업무집행사원)로 하여금 기관전용 사모펀드 또는 투자목적회사(해당 투자목적회사가 투자한 투자목적회사를 포함한다)가 투자한 투자대상기업에 대한 ‘LBO 차입인수’, 자산매각, 배당, 이해상충행위에 대해서 기관투자자(LP, 사원)에 보고하도록 하여 사모펀드에 대한 내부통제를 강화하고자 함(안 제249조의14제8항).

  또한, 투자대상기업에 대한 ‘LBO 차입인수’, 자산매각, 배당, 이해상충행위에 대해서는 금융위원회에도 보고하도록 하고, 금융위원회는 투자대상기업이 재무상태 악화나 경영상 어려움에 처하게 되는 경우에는 이러한 행위의 중단이나 필요한 시정조치를 명할 수 있도록 하여 투자대상기업이 이러한 무리한 LBO 차입거래로 파산상황에 몰리는 것을 예방하고자 함(안 제249조의15제11항).

  아울러, 기관전용 사모펀드 운용사가 위와 같은 내용에 대해서 금융위원회에 허위보고를 하거나 보고를 하지 않는 경우, 금융위원회의 조치 명령을 이행하지 않은 경우에, 금융위원회가 해당 사모펀드의 해산을 명할 수 있도록 함(안 제249조의21제1항제7호, 제8호).",7034,20250729
8,2211772,자본시장과 금융투자업에 관한 법률 일부개정법률안 (윤준병의원 등 10인),의원,정무위원회,"제안이유 및 주요내용



  현행법에 따른 “불공정거래행위”란 시장의 가격형성기능을 왜곡하거나 정보비대칭 등을 이용하여 다른 투자자에게 손해를 입히는 사기적 거래를 통칭하는 것으로, 현행법에서는 장내파생상품 시장에서의 중요정보 이용, 미공개중요정보 이용, 시세조종, 부정거래, 시장질서교란행위, 불법 공매도 등을 금지하고 이에 대한 제재를 규정하고 있음.

  그러나 불공정거래행위는 갈수록 다양화ㆍ복잡화되어 가고 있음에도 불구하고, 이를 억제하기 위한 탄력적인 조치 수단이 부족하여 불공정거래행위에 대한 효과적인 대응에 한계가 있다는 지적이 제기되고 있음. 특히 불공정거래행위자에 대한 제재는 형사처벌 중심으로 이루어지고 있는 가운데, 형사처벌 중심의 제재방식은 엄격한 입증책임 등으로 기소율이 낮고, 유죄가 확정되더라도 처벌수위가 낮은 등 실효성이 미흡한 실정임.

  이에 주가조작 등 불공정거래행위자에 대한 엄정한 처벌을 강화하기 위하여 불공정거래행위에 따른 거래 및 임원선임 제한 기간을 원칙적으로 20년으로 명시하고, 불공정거래행위로 얻은 부당이득 또는 회피한 손실액의 3배에 상당하는 금액 이하의 과징금을 부과할 수 있도록 상향조정하며, 불공정거래행위를 한 자는 3년 이상의 유기징역 또는 부당이득의 5배 이상 10배 이하에 상당하는 벌금에 처하도록 규정함으로써 자본시장의 공정성과 신뢰성을 강화하려는 것임(안 제426조의3 등).",6794,20250728
9,2211715,자본시장과 금융투자업에 관한 법률 일부개정법률안 (민병덕의원 등 12인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 집합투자업자에게 분기별 자산운용보고서 작성ㆍ교부, 분기별 영업보고서 제출 및 집합투자재산에 대한 회계감사 수감 의무 등을 부여하고 있으나 사모집합투자기구에 대해서는 특례를 두어 해당 규정의 적용을 배제하고 있음.

  그러나 이러한 특례로 사모집합투자업자의 집합투자재산 운용의 불투명성과 이해상충 문제가 지속적으로 발생하고 있어 투자자의 정보비대칭을 해소하고 금융당국의 감독을 강화할 필요가 있다는 지적이 제기되고 있음.

  이에 집합투자재산 운용과 관련한 정보 공시를 사모집합투자기구에도 적용되도록 함으로써 투자자의 정보 접근성을 강화하고 투자자를 보호하고자 함(안 제249조의8제1항ㆍ제2항, 제249조의14 및 제249조의20제1항).",7745,20250724
10,2211678,자본시장과 금융투자업에 관한 법률 일부개정법률안 (이강일의원 등 10인),의원,정무위원회,"제안이유 및 주요내용



  「상법」은 주식회사가 자기 명의와 계산으로 자사가 발행한 주식을 취득ㆍ보유하는 ‘자기주식’의 취득 및 처분에 대해 규정하고 있음. 특히 현행법은 주권상장법인에 한해 자기주식의 취득을 허용하면서, 취득 한도와 이사회 결의 등 절차적 특례를 두고 있음.

  그러나 현재의 규제는 최소한의 기준만 제시하고 있어, 자기주식이 경영권 방어 수단으로 악용되거나, 불공정거래의 도구로 활용되는 사례를 발생하면서, 일반 투자자의 이익이 침해되고, 자본시장 전체의 신뢰를 훼손하고 있음.

  자사주 소각은 이러한 부작용을 막고, 주주가치를 실질적으로 제고하는 가장 투명한 방식 중 하나임. 단순한 보유나 임의 처분이 아닌, 자사주를 시장에서 회수한 후 이를 완전히 소각함으로써 유통 주식 수를 줄이고, 기존 주주의 지분 가치를 높이는 긍정적 효과를 기대할 수 있음.

  이에 본 개정안은 주권상장법인이 자기주식을 취득한 경우 부득이한 경우를 제외하고 대통령령으로 정하는 기준과 기간에 따라 처분하도록 하고자 함(안 제165조의3제5항 신설 등).",7253,20250723
