번호,의안번호,법률안명,제안자구분,소관위원회,주요내용,의견수,date
1,2212818,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (조인철의원 등 11인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법은 불법정보 및 거짓 사실을 드러내어 타인의 명예를 훼손하는 정보 유통 등에 따른 이용자 피해에 대하여 불법정보 삭제조치 등 다양한 이용자 보호규정을 마련하고 있음. 

  하지만 이용자의 위법행위 및 고의적 반복성 허위사실 유포로 다른 이용자에게 정신적ㆍ재산적 피해가 발생하더라도 이를 실효적으로 제재할 수단이 미흡하여 이용자의 손해에 대한 피해구제가 어려운 실정임.

  특히, 이른바 사이버렉카라 불리는 일부 유튜버들이 경제적 이익을 목적으로 거짓 사실에 기반한 허위조작정보를 유통하고 있음에도, 현행 법체계로는 이를 효과적으로 차단하기 어려워 많은 이용자들이 심각한 피해를 입고 있음. 

  이에 정보통신망에서의 불법정보 범위에 ‘허위조작정보’를 명확히 포함하고, 이용자가 다른 이용자의 위반행위로 손해를 입은 경우 징벌적 손해배상을 청구할 수 있는 법적 근거를 신설하여 이용자 권리를 강화하고, 건전하고 신뢰할 수 있는 정보통신망 환경을 조성하려는 것임(안 제2조제1항제14호, 제44조의7제1항제2호의2 및 제44조의11 신설 등).",9692,20250909
2,2212814,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (박주민의원 등 12인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법은 사람을 비방할 목적으로 공공연하게 사실이나 거짓의 사실을 드러내어 타인의 명예를 훼손하는 내용의 정보를 불법정보로 규정하여 유통을 금지하고, 해당 불법정보로서 사실을 드러내어 다른 사람의 명예를 훼손한 자에 대하여 3년 이하의 징역 또는 3천만 원 이하의 벌금에 처하도록 하고 있음.

  이는 양육비 지급을 촉구하는 행위, 노동자가 임금체불이나 직장 내 괴롭힘 피해를 호소하는 행위, 소비자가 기업의 불공정 행위나 안전사고 피해를 드러내는 행위 등까지도 가벌성이 인정되어, 사회적 약자가 공적 문제를 제기하고 목소리를 낼 수 있는 권리조차 제약받는 결과를 초래하고 있음.

  유엔 자유권규약위원회와 유엔 표현의 자유 특별보고관은 우리나라의 사실적시 명예훼손죄 규정이 국제인권 기준에 부합하지 않는다며 폐지를 권고한 바 있음(2015년, 2022년). 허위의 사실이 아님에도 ‘비방 목적’과 ‘명예훼손’을 이유로 특정 표현을 불법정보의 하나로 규정하여 정보통신망에서 유통을 금지하고 형사처벌의 대상으로 삼는 것은 헌법상 보장된 표현의 자유를 과도하게 침해할 소지가 큼.

  또한, 현행법은 정보통신망에서의 명예훼손죄에 대하여 피해자가 구체적으로 밝힌 의사에 반하여 공소를 제기할 수 없도록 하고 있으나, 여전히 피해자가 아닌 사람이나 단체가 정치적ㆍ사회적 의도로 고발을 남발하는 문제가 지속되고 있어 이에 대한 제도적 보완이 필요한 상황임.

  이에 사람을 비방할 목적으로 정보통신망을 통하여 공공연하게 사실을 드러내어 다른 사람의 명예를 훼손하는 경우를 불법정보의 범주에서 제외하고, 이를 형사처벌 대상에서 배제하고자 함. 아울러 정보통신망에서의 명예훼손죄에 대하여는 반드시 피해자의 고소가 있어야만 공소를 제기할 수 있도록 개정하고자 함(안 제44조의7제1항제2호 및 제70조제3항 등).",9031,20250909
3,2212762,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (조인철의원 등 10인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법은 과학기술정보통신부장관이 정보통신서비스 제공자의 정보통신망에 중대한 침해사고가 발생한 경우에 한하여 소속 공무원 또는 민ㆍ관합동조사단으로 하여금 사업장에 출입하여 원인을 조사하고, 피해 확산 및 재발 방지를 위한 조치의 이행을 명할 수 있도록 규정하고 있음.

  그러나 현행법상 소속 공무원의 사업장 출입권한을 중대한 침해사고에만 한정하고 있어 일반 침해사고 발생 시 원인 분석의 한계가 있으며, 일반 침해사고도 향후 중대한 침해사고로 확대될 가능성이 있어 사전 예방에서 조사의 필요성이 제기되고 있음. 또한, 조사 결과에 따른 침해사고 대책의 이행을 강제할 수단이 없어 정보통신서비스 제공자가 불이행하더라도 대응이 어려운 문제점이 있음.

  이에 침해사고의 원인 분석 및 조사 대상을 확대하여 중대한 침해사고가 아닌 침해사고에 대해서도 원인 분석 및 조사를 할 수 있도록 규정하고, 원인 분석 결과에 따라 필요한 조치를 불이행할 경우 이행강제금을 부과할 수 있도록 규정하여 침해사고에 대한 대응이 보다 효과적으로 이루어질 수 있도록 하려는 것임(안 제48조의4제6항, 제48조의7 신설, 제64조제3항 등).",8726,20250908
4,2212629,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (임종득의원 등 10인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법에 따르면 과학기술정보통신부장관은 정보통신망 관련 기술 및 기기의 개발을 효율적으로 추진하기 위하여 관련 연구기관으로 하여금 연구개발ㆍ기술협력ㆍ기술이전 또는 기술지도 등의 사업을 하게 할 수 있고, 그 사업에 드는 비용의 전부 또는 일부를 지원할 수 있도록 규정하고 있음.

  그런데 정보통신망 기술이 빠르게 발전하고 고도화됨에 따라 연구개발과 기술이전ㆍ기술지도 등에 대한 수요가 급격히 증가하고 있고, 급변하는 정보통신 환경 속에서 기술혁신과 정보 보호 등을 효율적으로 추진하기 위해서는 연구기관 뿐만 아니라 민간부문의 전문성과 역량을 적극적으로 활용할 필요가 있음.

  이에 과학기술정보통신부장관은 민간부문에서 추진하는 정보통신망 관련 기술 및 기기의 개발을 위한 연구개발ㆍ기술협력ㆍ기술이전 또는 기술지도 등의 사업에 지원할 수 있도록 함으로써 정보통신망 관련 기술 혁신과 정보통신서비스 품질 향상을 통하여 편리하고 안전한 정보통신망 이용 환경 조성에 기여하려는 것임(안 제6조제3항 신설 등).",8771,20250903
5,2212627,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (백혜련의원 등 10인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법은 정보통신서비스 제공자 중 일일 평균 이용자의 수, 매출액, 사업의 종류 등이 대통령령으로 정하는 기준에 해당하는 자는 매년 자신이 제공하는 정보통신서비스를 통하여 유통되는 불법촬영물등의 처리에 관하여 투명성 보고서를 작성하여 방송통신위원회에 제출하도록 규정하고 있으며, 투명성 보고서를 제출하지 아니한 자에게는 과태료를 부과하도록 하고 있음.

  그런데, 사실이 아닌 내용의 투명성 보고서를 제출하여도 이에 대한 제재 규정이 없어 투명성 보고서를 거짓으로 제출할 유인이 있으며, 투명성 보고서를 거짓으로 제출하게 되는 경우 투명성 보고서 제출의무를 규정하고 있는 현행 조항의 실효성이 저해될 우려가 있음.

  이에 투명성 보고서를 거짓으로 제출하는 경우에도 과태료를 부과하도록 규정하여 투명성 보고서 제출 의무의 실효성을 담보함으로써 불법촬영물등의 유통방지가 효과적으로 이루어질 수 있도록 하려는 것임(안 제76조제3항제25호).",9887,20250903
6,2212613,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (최수진의원 등 12인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법에 따르면 과학기술정보통신부장관은 해킹 등 중대한 침해사고의 원인분석과 사고대응을 위해 민ㆍ관합동조사단을 구성할 수 있도록 하고 있으며, 정보통신서비스 제공자에게 침해사고 관련 자료의 제출을 요구할 수 있는 권한을 가지고 있음.

  그러나 민ㆍ관합동조사단의 사업장 출입 및 자료요청 권한의 경우 중대한 침해에만 한정하고 있으며, 이에 대한 판단이 모호해 법적 혼란과 함께 적극적인 사고대응을 할 수가 없는 문제가 발생하고 있음.    또한 해킹사고가 발생해 국민적인 피해가 확산되고 있지만 정보통신서비스 제공자가 자료를 제대로 제출하지 않는 경우가 많아 현행 자료제출 관련 의무조항을 강화할 필요가 있음.

  이에 침해사고 관련 적극적인 피해 확산 방지와 사고대응을 위해 민ㆍ관합동조사단의 조사 권한과 정보통신서비스 제공자에 대한 자료 제출 의무를 강화하여 정보통신망의 안전성과 신뢰성을 제고하고자 함(안 제48조의4제6항 및 제64조제3항).",8781,20250902
7,2212605,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (정일영의원 등 10인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법은 불법정보의 유통을 금지하고 방송통신위원회로 하여금 불법정보에 대한 처리 거부ㆍ정지 또는 제한을 명하도록 하는 등 이용자 보호규정을 마련하고 있음.

  그런데 최근 허위 또는 조작된 사실의 정보를 유포하여 여론 왜곡과 사회적 갈등 조장으로 인한 사회적 문제가 꾸준히 증가하고 있고 이러한 허위조작정보의 무분별한 확산으로 인한 경제적ㆍ정신적 피해가 증가하고 있음에도 이에 대한 법적 규제 근거가 미흡함.

  이에 정보통신망에 유통이 금지되는 불법정보에 정치적ㆍ경제적 이익 등을 목적으로 거짓 또는 왜곡을 통하여 정확한 사실관계를 오인하도록 조작된 정보를 포함시키고, 해당 불법정보 유통으로 타인에게 손해를 입히는 경우 그 손해액의 5배 이내에서 배상하도록 하는 징벌적 손해배상제도를 도입하려는 것임(안 제44조의7제1항제2호의2, 제44조의11 및 제74조제1항제2호의2 신설 등).",11159,20250902
8,2212595,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (조인철의원 등 13인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법은 정보통신서비스 제공자에게 정보통신시스템에 대한 보안 및 정보의 안전한 관리를 위하여 임직원을 정보보호 최고책임자로 지정하도록 하고 있고, 정보통신망 침해사고 발생시 과학기술정보통신부장관이나 한국인터넷진흥원에 신고하도록 의무를 부과하고 있음.

  그러나 「전자금융거래법」상 정보보호최고책임자와 달리 「정보통신망 이용촉진 및 정보보호 등에 관한 법률」상 정보보호 최고책임자에게는 인력관리 및 예산편성 권한이 없다는 지적이 있고, 해킹 등 침해사고 발생으로 인하여 개인정보 유출 사고가 발생하는 경우 이용자들에게 통지가 적시에 제대로 이루어지지 않아 2차 피해가 확산될 수 있다는 지적이 있는바, 정보보호 체계 및 이용자 보호 체계의 개선이 필요함.

  이에 정보보호 최고책임자에게 정보보호에 필요한 인력 관리 및 예산 편성 권한을 부여하고, 중대한 침해사고 발생 시 정보통신서비스 제공자가 지체 없이 그 사실을 해당 이용자에게 통지하도록 규정하여 이용자가 침해사고로 인한 피해의 확산을 방지하려는 것임(안 제45조의3제4항제1호마목ㆍ바목, 제48조의3제4항, 제76조제3항제11호의2 신설).",9376,20250902
9,2212497,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (박상혁의원 등 10인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법은 정보통신서비스 제공자가 침해사고 발생 시 과학기술정보통신부장관이나 한국인터넷진흥원에 신고하도록 규정하고 있으나, 해당 서비스의 이용자에게 침해사고 발생 사실을 통지하도록 하는 의무 규정은 두지 않음.

  그런데 최근 침해사고의 발생으로 대규모 개인정보가 유출되었음에도 이용자들에게 침해사고의 위험성과 2차 피해 가능성에 대한 통지가 적시에 제대로 이루어지지 않은 문제가 발생하여 이용자 보호 체계의 개선이 필요함.

  이에 중대한 침해사고 발생 시 예보ㆍ경보ㆍ통지의 방법을 구체적으로 규정하여 침해사고로 인한 이용자 피해 확산을 방지하려는 것임(안 제48조의2).",9743,20250829
10,2212484,정보통신망 이용촉진 및 정보보호 등에 관한 법률 일부개정법률안 (박상혁의원 등 10인),의원,과학기술정보방송통신위원회,"제안이유 및 주요내용



  현행법에 따르면 과학기술정보통신부장관은 중대한 침해사고가 발생한 경우 민ㆍ관합동조사단을 구성하여 침해사고의 원인을 분석할 수 있으며, 정보통신서비스 제공자에게 침해사고 관련 자료의 제출을 요구할 수 있는 권한을 가지고 있음.

  그러나 정보통신서비스 제공자가 침해사고 관련 자료를 제출하지 아니하거나 거짓으로 제출하더라도 1천만원 이하의 과태료 부과에 그치고 있고, 사업자의 자의적인 협조에 상당 부분 의존하는 상황임. 따라서 사고 은폐나 축소 가능성이 있는 만큼 조사의 강제력을 확보할 필요가 있다는 의견이 제기됨.

  이에 침해사고 관련 자료제출 의무의 실효성을 확보하기 위하여 자료제출 의무를 이행하지 않을 경우 이행강제금을 부과할 수 있는 근거를 마련함으로써 정보통신망의 안전성과 신뢰성을 제고하고자 함(안 제48조의7 신설 등).",10101,20250828
