번호,의안번호,법률안명,제안자구분,소관위원회,주요내용,의견수,date
1,2211979,아동복지법 일부개정법률안 (허영의원 등 12인),의원,보건복지위원회,"제안이유 및 주요내용



  아동학대는 가정 내에서 주로 발생하지만, 유치원이나 학교 등 교육기관에서도 여전히 적지 않은 비율로 발생하고 있음. 현행법에 따라 법원은 아동학대 관련 범죄로 형을 선고하면서 아동 관련 기관에 일정 기간 취업을 제한하는 명령을 사건의 판결과 동시에 선고할 수 있음.

  아동관련 기관의 장은 기관에 취업(예정)중이거나 사실상 노무를 제공(예정)중인 사람에 대해 아동학대 관련 범죄 전력을 조회화여 취업대상 여부를 확인할 수 있음.

  하지만, 교육감이나 교육장은 아동학대 관련 범죄 전력을 직접 조회 할 수 있는 근거가 없어 취업자 등이 학교에 배치·파견되고 나서야 학교에서 범죄 전력이 확인 가능함. 이 경우 학교에서 아동학대 관련 범죄 전력을 확인하는 기간 동안 아동이 아동학대 범죄에 노출될 우려가 있고 취업제한 대상자임을 뒤늦게 확인하여 재모집 절차를 진행할 경우 그 기간동안 인력공백도 발생할 가능성이 큼.

  이에 교육감이나 교육장이 아동학대 관련 범죄 전력을 조회할 수 있는 근거를 마련하여 아동학대 범죄 노출 문제를 사전에 차단하고자 함(안 제29조의3).",7501,20250805 
2,2211796,아동복지법 일부개정법률안 (김재섭의원 등 10인),의원,보건복지위원회,"제안이유 및 주요내용



  현행법은 보호대상아동에 대한 위탁가정에서의 보호가 종료되거나 아동복지시설을 퇴소한 이후 이들의 자립을 지원하기 위하여 국가와 지방자치단체가 주거ㆍ생활ㆍ교육ㆍ취업ㆍ의료 등의 지원을 실시하도록 하고 있으나, 법률상담에 대한 내용은 규정하고 있지 않음. 

  보호대상아동은 사회적ㆍ경제적 약자로서 자립 과정에서 재산, 근로 등과 관련하여 법적인 문제가 발생하였을 때 도움을 받을 곳이 필요함. 현재 법률구조공단이 일부 아동자립지원전담기관과의 협약을 통하여 법률상담 및 자문을 제공하고 있으나, 법적 근거가 미비하여 도움이 필요한 자립준비청년 모두에게 서비스를 제공하기 어려운 상황임. 

  이에 국가와 지방자치단체의 자립지원 항목에 법률상담과 소송대리 등 법률적 지원을 추가함으로써, 보호대상아동의 자립지원과 권리보호를 보다 강화하려는 것임(안 제38조).",6998,20250729 
3,2211191,아동복지법 일부개정법률안 (서영석의원 등 11인),의원,보건복지위원회,"제안이유



  아동학대 피해아동이나 그 보호자가 장애가 있는 경우 보호조치 결정 등의 과정에서 장애의 특성이 고려되어야 하나 현행법에는 이를 반영하는 절차가 미비함. 

  이에 보호대상아동 또는 그 보호자가 장애가 있거나 장애가 있다고 의심되는 경우 지방자치단체가 보호조치 및 피해아동보호계획 수립 시 장애인권익옹호기관 등의 의견을 듣도록 하는 등 장애아동 또는 장애가 있는 보호자를 둔 아동에 대한 학대 방지 및 대응이 효과적으로 이루어질 수 있도록 하고자 함. 

  아울러 보호조치에 따른 입소시설에 장애인복지시설을 추가하고, 해당 시설에 입소한 보호아동에 대한 양육상황 점검 등 필요한 경우 장애인권익옹호기관의 지원을 받도록 하며, 보건복지부장관이 관리하는 아동학대 정보에 장애 관련 정보를 포함하고, 연차보고서에 장애아동 학대 관련 통계를 추가함으로써 장애가 있는 아동에 대한 학대 현황을 보다 면밀히 파악하고 보호체계를 강화하려는 것임.





주요내용



가. 보호대상아동 또는 해당 아동의 보호자가 장애가 있거나 장애가 있는 것으로 의심되는 경우 지방자치단체의 장이 보호조치를 하거나 피해아동보호계획을 수립할 때 장애인권익옹호기관의 종사자등의 의견을 듣도록 함(안 제15조제1항 후단 및 제22조의4제1항 후단 신설). 

나. 보호대상아동이 장애인인 경우 지방자치단체의 장이 보호조치를 할 때 「장애인복지법」에 따른 장애인복지시설에 입소시킬 수 있도록 함(안 제15조제1항제4호 및 같은 조 제6항). 

다. 지방자치단체의 장이 보호대상아동에 대한 양육상황 점검 등의 업무를 수행하거나 보호대상아동의 사후관리 시 필요한 경우 장애인권익옹호기관의 장에게 지원을 요청할 수 있도록 함(안 제15조의3제3항 및 제16조의2제2항 신설).

라. 국가와 지방자치단체가 장애가 있는 아동에 대한 아동학대 예방과 방지를 위하여 관련 업무 종사자 교육을 실시하도록 함(안 제22조제1항제5호 신설).

마. 피해아동보호계획에 피해아동 및 해당 아동의 보호자의 장애 여부 및 이에 따라 필요한 추가 지원 사항을 포함하도록 함(안 제22조의4제4호 신설).

바. 보건복지부장관이 아동학대 사건 정보를 관리할 때에 보호대상아동 또는 해당 아동의 보호자가 장애가 있거나 장애가 있는 것으로 의심되는 경우 이에 관한 정보를 포함하도록 함(안 제28조제2항 후단 신설).

사. 장애인복지시설의 장 등 장애 관련 시설의 장이 아동학대 발생 방지를 목적으로 아동정보시스템상의 정보를 요청하고 이를 제공받을 수 있도록 함(안 제28조의2제3항제7호부터 제9호까지 신설).

아. 보건복지부장관이 아동학대 예방 및 피해아동 보호 정책의 추진현황과 평가결과에 대한 연차보고서 작성 시 아동학대피해장애아동 현황과 장애아동학대 사례 분석을 포함하도록 함(안 제65조의2제2항제2호 및 제3호).",6713,20250701 
4,2210345,아동복지법 일부개정법률안 (최보윤의원 등 11인),의원,보건복지위원회,"제안이유



  아동학대의 피해자나 그 보호자에게 장애가 있는 경우, 피해아동의 보호조치 결정 등의 과정에서 장애의 특성이 반드시 고려되어야 할 사항임.

  이 같은 취지를 반영하여 현행법은 아동복지시설의 장 등에게 아동학대 발생 방지를 위하여 아동정보시스템상의 정보를 요청하고 제공받을 수 있도록 규정하고 있으나, 장애 관련 시설의 장에게는 이러한 권한이 부여되어 있지 않아 이를 보완할 필요가 있음.

  그 밖에 장애아동 또는 장애가 있는 보호자를 둔 아동에 대한 학대 방지 및 대응이 효과적으로 이루어질 수 있도록 일부 미비한 점들을 개선ㆍ보완하려는 것임. 



주요내용



가. 보호대상아동 또는 해당 아동의 보호자가 장애가 있거나 장애가 있는 것으로 의심되는 경우 지방자치단체의 장이 피해아동에 대하여 보호조치를 하거나 피해아동보호계획을 수립할 때에 장애인권익옹호기관의 종사자 등의 의견을 듣도록 함(안 제15조제1항 후단  및 제22조의4제1항 신설).

나. 국가와 지방자치단체가 장애가 있는 아동에 대한 아동학대 예방과 방지를 위한 관련 업무 종사자 교육을 하도록 함(안 제22조제1항제5호 신설).

다. 피해아동보호계획에 피해아동 및 해당 아동의 보호자의 장애 여부 및 이에 따라 필요한 추가 지원 사항을 포함하도록 함(안 제22조의4제4호 신설).

라. 보건복지부장관이 아동학대 정보를 관리할 때에 보호대상아동 또는 해당 아동의 보호자가 장애가 있거나 장애가 있는 것으로 의심되는 경우 이에 관한 정보를 포함하도록 함(안 제28조2제2항 후단 신설).

마. 장애인복지시설의 장 등 장애 관련 시설의 장이 아동학대 발생 방지를 목적으로 아동정보시스템상의 정보를 요청하고 제공받을 수 있도록 함(안 제28조제3항제7호부터 제9호까지 신설).

바. 연차보고서에 장애아동에 대한 항목을 별도로 두어 장애아동 학대사건에 대한 통계 및 조사가 포함되도록 함(안 제65조의2제2항).",7448,20250502 
5,2209853,아동복지법 일부개정법률안 (강선우의원 등 16인),의원,보건복지위원회,"제안이유 및 주요내용



  현행법에 따르면 국가와 지방자치단체는 장애아동의 권익을 보호하고, 장애유무에 따른 어떠한 종류의 차별도 받지 아니하도록 필요한 시책을 강구하여야 함. 

  그러나, 장애아동은 원가정 보호보다는 장애인복지시설로 보호조치 되는 비율이 높은데, 장애아동학대에 대한 통계관리가 미흡하고 사례관리가 지속되지 못하는 문제가 발생함.

  이에 장애인복지시설에서 보호조치 중인 피해아동의 양육상황을 매년 점검하도록 하고, 보장원의 업무에 장애아동학대예방사업 활성화를 위한 교육 및 홍보를 강화하도록 하며, 장애인학대정보시스템을 연계하여 관리하는 것과 연차보고서에 장애아동학대에 대한 내용을 포함하도록 명시하여 장애아동학대 관련 조사 및 통계관리를 하고자 함(안 제15조의3, 제22조, 제28조의2 및 제65조의2).",8464,20250415 
6,2209815,아동복지법 일부개정법률안 (김민석의원 등 10인),의원,보건복지위원회,"제안이유 및 주요내용



   현행법에 따르면 아동학대 신고의무자가 소속된 기관ㆍ시설 등의 장이 소속 아동학대 신고의무자에게 신고의무 교육을 실시하여야 함.

  그러나 아동학대 신고의무자에 대한 교육 미실시 시 과태료 부과 기준이 다른 법정의무교육의 과태료 부과 기준과 달라서 형평에 맞게 개정해야 한다는 의견이 있음.

  이에 아동학대 신고의무 교육을 실시하지 아니한 자에 대한 과태료를 300만원 이하에서 500만원 이하로 상향해 아동학대예방을 위한 신고의무자교육을 강화하고자 함(안 제75조제2항 및 제3항).",9164,20250415 
7,2209797,아동복지법 일부개정법률안 (서지영의원 등 14인),의원,보건복지위원회,"제안이유 및 주요내용



  아동학대 사건에 대한 언론 보도는 국민의 관심과 사회적 여론을 환기하는 긍정적인 역할도 하지만, 불필요한 영상 보도 또는 자극적인 표현이나 피해자의 사생활 노출 등의 문제점도 나타남. 이에 2023년 6월 법률을 개정하여 보건복지부장관이 언론의 아동학대보도에 대한 권고기준을 수립하고 그 이행확보 방안을 마련하도록 하는 한편, 언론에 대하여 해당 권고기준을 준수하도록 협조를 요청할 수 있는 근거를 마련하였음.

  다만, 현행법에 언론이 아동학대보도에 대한 권고기준을 실제로 준수하고 있는지 점검할 수단이 존재하지 않아 문제점이 개선되었는지 여부와 동 제도의 보완점은 없는지에 대한 파악이 어려운 상황임. 

  이에 보건복지부장관으로 하여금 권고기준 관련 실태조사를 할 수 있도록 함으로써 동 규정의 실효성을 높이고 아동인권 보호에 기여하려는 것임(안 제29조의9 신설).",8043,20250414 
8,2209738,아동복지법 일부개정법률안 (최은석의원 등 10인),의원,보건복지위원회,"제안이유



  사회적 경쟁 심화, 소득·자산 격차 확대 등에 따른 청년층의 비관적 미래 인식은 저출생의 원인이 되어 국가 경쟁력에 부정적 영향을 끼치고 심각한 국가 위기 상황을 초래할 것으로 예상되는 가운데, 현재 정부가 「아동수당법」에 따라 지급하고 있는 아동수당은 8세 미만의 아동으로 한정되어 있어 아동수당 공백기인 8세 이상 성년(19세 미만) 이전의 아동에 대한 현금성 지원을 강화할 필요성이 대두되고 있음.

  이에 정부가 아동에게 매월 10만원의 금액을 계좌에 입금해주고, 보호자도 해당 계좌에 최대 20만원을 납입할 수 있도록 하여 금융기관 등이 이를 개인종합자산관리계좌 형식으로 집합투자기구에 운용하며, 아동이 성인이 된 시점에 계좌에 있는 금액을 인출하여 필요한 학자금 등에 사용할 수 있도록 하는 ‘아동개인종합자산관리계좌’ 제도를 마련하려는 것임.





주요내용



가. 국가가 일정 가구소득에 해당하는 가구에 속한 8세 이상 19세 미만 아동에게 매월 10만원의 정부적립금을 아동개인종합자산관리계좌에 지급함(안 제44조의2제1항ㆍ제2항 신설)

나. 아동의 보호자는 아동개인종합자산관리계좌에 매월 20만원을 한도로 보호자적립금을 납입할 수 있음(안 제44조의2제3항 신설).

다. 부득이한 사유*에 해당하지 않는 경우 정부적립금과 보호자적립금 등은 19세가 되는 날부터 인출할 수 있음(안 제44조의2제4항 신설).

   * (중도인출 가능 사유) 아동에게 중대한 질병 등 대통령령으로 정함

라. 아동의 사망, 이민 등의 사유가 발생한 경우 정부적립금 지급을 중지하고, 지급된 정부적립금을 환수함(안 제44조의2제6항 신설).

마. 정부적립금의 지급 신청 등 기타 사항에 대해서는 「아동수당법」의 규정을 준용하도록 함(안 제44조의2제7항 신설).

바. 정부가 적립금의 건전하고 효율적인 이용에 관한 아동 대상 교육 등을 실시하도록 함(안 제44조의3 신설).





참고사항



  이 법률안은 최은석의원이 대표발의한 「조세특례제한법 일부개정법률안」(의안번호 제9737호)의 의결을 전제로 하는 것이므로, 같은 법률안이 의결되지 아니하거나 수정의결 되는 경우에는 이에 맞추어 조정되어야 할 것임.",8781,20250411 
9,2209508,아동복지법 일부개정법률안 (김영호의원 등 11인),의원,보건복지위원회,"제안이유 및 주요내용



  최근 헌법재판소의 윤석열 대통령에 대한 탄핵심판 선고를 앞두고, 헌법재판소 인근은 물론 도심 곳곳에서 대규모 집회와 시위가 지속되고 있는 가운데 불특정 다수를 향한 무차별적인 욕설, 비속어, 폭언 등 유해언어를 확성기, 음향장치 등을 이용해 반복적으로 외치거나, 송출하는 행위가 지속되고 있음. 이는 주변 학교 학생의 학습권 침해는 물론, 인근을 지나는 아동의 정서 발달에도 심각한 악영향을 초래하고 있음.

  현행법은 아동에 대한 신체적, 정서적 학대를 금지하고 있으나, 위와 같은 공공의 장소에서 확성기 등을 통한 욕설, 비속어, 폭언 등 유해언어로 인한 아동의 학습권 침해와 정서적 건강 침해에 대한 제재는 미비한 실정임.

  이에, 아동복지시설, 학교, 유치원, 어린이집, 어린이 보호구역 등에서의 집회, 시위 중 확성기 등을 이용한 폭언, 욕설, 비속어 등으로 아동에게 정신적 위해를 가하는 행위를 금지하고, 이를 엄격히 처벌하고자 함(안 제17조제12호 신설 및 제71조제1항제4호).",10044,20250401 
10,2209213,아동복지법 일부개정법률안 (박덕흠의원 등 11인),의원,보건복지위원회,"제안이유 및 주요내용



  현행법에서는 자립준비청년에 대한 국가와 지자체의 주거ㆍ생활ㆍ교육ㆍ취업 등 지원 의무 기간을 ‘보호 종료 후 5년’으로 규정하고 있음. 이는 사실상 23세까지 취업 지원을 받을 수 있게 하는 제약을 두고 있으며, 이로 인해 군 입대나 대학 졸업 후 자립을 준비하는 20대 중ㆍ후반의 자립준비청년들이 취업 관련 지원을 받지 못하는 어려움을 겪고 있음.

  따라서 이들을 보다 실질적으로 지원할 수 있도록, 지원 기간을 ‘보호 종료 후 10년’으로 연장해 자립준비청년들이 취업을 준비하는 시점에서 실질적인 도움을 받을 수 있도록 하고자 함(안 제38조제2항3호).",7918,20250321 
