번호,의안번호,법률안명,제안자구분,소관위원회,주요내용,의견수,date
1,2212672,개인정보 보호법 일부개정법률안 (박정하의원 등 10인),의원,정무위원회,"제안이유 및 주요내용



  현행 개인정보보호법은 기업이나 기관이 개인정보를 제대로 관리하지 않아 유출ㆍ도난 등이 발생했을 경우, 정부가 과징금을 부과할 수 있도록 하고 있음. 그러나 이 과징금은 전액 국고로 귀속되며, 실제 피해를 입은 정보주체는 보상받기 위해 별도로 민사소송을 제기해야 함. 

  기술적ㆍ관리적ㆍ물리적 보호조치의 미흡으로 개인정보 유출 사고가 반복되고 있으나, 피해자는 시간ㆍ비용 부담으로 인해 소송을 포기하는 경우가 많고 실질적인 보상을 받기 어려움. 이로 인해 피해는 국민이 입고, 과징금은 정부가 가져가는 구조적 비대칭에 대한 비판이 지속되고 있음.

  이에 개인정보보호위원회에 개인정보피해보상기금을 설치하여 개인정보의 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손으로 인하여 손해를 입은 정보주체의 보호 및 지원에 기금을 사용하도록 함으로써 정보주체의 손해를 실질적으로 보전하려는 것임(안 제39조의16부터 제39조의22까지 신설).





참고사항



  이 법률안은 박정하의원이 대표발의한 「국가재정법 일부개정법률안」(의안번호 제호)의 의결을 전제로 하는 것이므로 같은 법률안이 의결되지 아니하거나 수정 의결되는 경우에는 이에 맞추어 조정되어야 할 것임.",7193,20250903
2,2212113,개인정보 보호법 일부개정법률안 (김현정의원 등 13인),의원,정무위원회,"제안이유



  최근 빅데이터 및 인공지능 기술의 급속한 발전으로 인해 개인정보 처리 과정에서 프로파일링의 활용이 증가하고 있으며, 그 영향력 또한 확대되고 있으나 현행 법령에서는 이에 대한 명확한 개념 정의가 미비한 실정임. 

  한편, 현행법상 개인정보의 수집ㆍ이용, 제3자 제공, 목적 외 이용ㆍ제공과 관련하여 정보주체에 대한 고지의무가 정보주체의 ‘동의’가 있는 경우로 한정되어 있으나 동의 외의 법적 근거에 따라 처리하는 경우에도 정보주체의 알 권리를 보장하고 투명성을 제고할 수 있도록 고지의무를 확대할 필요가 있음. 

  또한, 정보주체의 열람권 보장 범위 확대를 통하여 개인정보 자체에 대한 열람뿐만이 아닌 개인정보가 어떠한 방식으로 처리되고 있는지에 대한 정보까지 열람할 수 있도록 함으로써 정보주체의 자기정보 통제권을 실질적으로 강화할 필요가 있음. 

  이에 프로파일링의 개념을 명확히 규정하고, 개인정보 처리와 관련한 사항을 정보주체에게 알리도록 하며, 열람권 보장 범위를 확대하여 개인정보 처리의 투명성을 제고하고 개인정보 보호체계를 강화하려는 것임.





주요내용



가. 프로파일링의 개념을 명확히 규정함(안 제2조제2호의2 신설). 

나. 개인정보의 수집ㆍ이용, 제3자 제공, 목적 외 이용ㆍ제공과 관련하여 정보주체의 동의를 받지 아니하는 경우에도 개인정보처리자가 정보주체에게 처리사항을 알리도록 하여 정보주체의 알 권리를 보장함(안 제15조, 제17조, 제18조).

다. 정보주체의 열람권 보장 범위를 확대하여 정보주체의 자기정보 통제권을 강화함(안 제35조).",10953,20250812
3,2211923,개인정보 보호법 일부개정법률안 (이정문의원 등 14인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 개인정보보호위원회가 개인정보 유출 등의 위반행위가 발생하거나 발생할 우려가 있는 경우, 개인정보처리자에게 관계 서류 등의 자료를 제출하도록 요구하고, 이를 거부하거나 거짓 자료를 제출한 경우에는 벌칙 또는 과태료를 부과할 수 있도록 규정하고 있음.

  그러나 자료제출 요구에 대하여 제출을 고의로 지연하는 경우에 대해서는 별도의 제재 규정이 없어, 일부 개인정보처리자가 이를 악용하여 자료 제출을 불성실하게 이행하고, 그로 인하여 위법행위에 대한 조사 및 조치가 지연되는 사례가 발생하고 있음.

  이에 개인정보처리자의 자료제출 기한을 원칙적으로 60일 이내로 정하고, 부득이한 경우에 한하여 1회에 한해 30일의 범위에서 연장할 수 있도록 하며, 정당한 사유 없이 자료 제출을 지연한 경우에도 추가적인 과태료를 부과할 수 있도록 하여 제도의 실효성을 높이고자 함(안 제63조제2항 신설, 제75조의2 신설 등).",7752,20250801
4,2211911,개인정보관련 집단소송법안 (전용기의원 등 15인),의원,법제사법위원회,"제안이유



  정보통신기술의 발전과 디지털 서비스의 확대에 따라 대규모 개인정보가 수집ㆍ이용되는 사례가 급증하고 있으며, 이로 인한 개인정보 유출ㆍ침해 사고도 지속적으로 발생하고 있음.

  그러나 개인정보 침해 피해자는 소송 비용 부담, 소송 절차의 복잡성, 개별 손해액의 소액성 등의 이유로 민사상 권리구제를 받기 어려운 구조적 한계를 지니고 있음.

  이에 따라 개인정보 침해로 인한 집단적 피해를 효율적이고 실질적으로 구제하기 위하여 피해자 일부가 제기한 소송을 통해 전체 피해자가 함께 구제받을 수 있는 집단소송제도를 개인정보 침해 분야에 한정하여 도입하고자 함.

  이를 통해 국민의 개인정보 자기결정권과 사생활의 권리를 실질적으로 보호할 수 있는 제도적 기반을 마련하려는 것임.





주요내용



가. 이 법은 개인정보의 유출 또는 침해로 인해 공통의 이익을 가진 다수인에게 집단적인 피해가 발생한 경우에 그중 1인 또는 수인이 대표당사자가 되어 손해배상을 청구하는 소송을 제기하고, 이에 관한 재판에 국민이 참여할 수 있도록 함으로써 개인정보 관련 분쟁에 따른 집단적 분쟁을 효율적이고 공정하게 해결하기 위하여 「민사소송법」에 대한 특례를 정함을 목적으로 함(안 제1조).

나. 소 제기와 함께 소송허가신청서를 제출하여야 하며, 인지액은 일반 민사소송의 1/2로 감액하고 상한액은 5천만 원으로 제한하며 소장 및 허가신청서에는 구성원, 청구 원인, 소송대리인, 총원의 범위 등을 기재하여야 함(안 제7조부터 제9조까지).

다. 법원은 소 제기 사실, 청구 내용, 총원의 범위, 대표당사자 신청 안내 등을 10일 이내 공고해야 하고 공고 후 50일 이내에 대표당사자를 선임해야 함(안 제10조).

라. 대표당사자는 총원의 이익을 공정하게 대표할 수 있는 구성원이어야 하고, 소송대리인은 총원의 이익을 적절히 대리할 수 있는 자로서 이해충돌이 없어야 함(안 제5조 및 제11조).

마. 소송허가 요건으로는 ① 구성원이 50인 이상일 것, ② 공통의 법률ㆍ사실상 쟁점 존재, ③ 개인정보관련집단소송이 적합하고 효율적인 수단일 것, ④ 신청서 기재사항과 첨부서류에 흠이 없을 것 등의 요건을 요하고, 법원은 필요시 감독기관으로부터 자료 수집, 대표당사자 및 피고를 심문 후 허가 여부 결정 및 감독기관으로부터 자료 수집 가능함(안 제12조 및 제13조).

바. 소송허가 결정이 확정되면 법원은 구성원에게 고지해야 하며, 해당 내용을 감독기관도 공시해야 함(안 제18조 및 제19조).

사. 제외신고 기간 내에 서면 제출 시 소송에서 제외 가능하며, 개별소송 제기 시에도 제외한 것으로 간주됨(안 제28조).

아. 판결서에는 총원의 범위, 제외신고자 등을 명시하고 금전지급 판결 시에는 유예ㆍ분할지급이 가능하며 확정판결은 제외신고를 하지 않은 구성원 전원에게 기판력 발생함(제36조 및 제37조).

자. 대표당사자는 집행권원(執行權原)을 취득하였을 때에는 지체 없이 그 권리를 실행하여야 하고, 권리실행이 끝나면 그 결과를 법원에 보고하여야 함(안 제40조).

차. 구성원은 분배계획에서 정하는 바에 따라 권리신고 기간 내에 분배관리인에게 권리를 신고하여야 하고, 분배관리인은 권리신고를 한 자 및 피고에게 권리확인의 결과를 통지하여야 함(안 제49조).",10310,20250801
5,2211726,개인정보 보호법 일부개정법률안 (박덕흠의원 등 12인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 개인정보처리자가 개인정보 유출 사실을 알게 되었을 때에는 “지체 없이” 통지ㆍ신고하도록 규정하고 있으나, 그 시간 기준과 인지 시점 정의가 불명확하여 신고 기한 판단에 혼선을 주고 있음.

  이로 인해 개인정보처리자는 신고 시점을 두고 자의적 해석을 하거나, 지연 통지로 인한 이용자 피해 발생 시 책임 회피가 가능하다는 문제점이 있음.

  이에 개인정보가 유출되었음을 알게 된 시점을 “유출 사실을 알게 되었거나, 합리적으로 요구되는 충분한 주의의무를 다하였다면 알 수 있었던 때”로 정의하고, 그로부터 24시간 이내에 통지ㆍ신고하도록 규정하여 개인정보처리자의 통지ㆍ신고 의무를 실효적으로 확보하려는 것임(안 제34조제1항ㆍ제3항 등).",5937,20250725
6,2211555,개인정보 보호법 일부개정법률안 (민병덕의원 등 14인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 개인정보 유출 시 그 대상자를 특정할 수 없는 경우 홈페이지 게시 등으로 개별 통지를 갈음할 수 있도록 하고 있음. 

  그러나 최근 SKT 해킹 사고에서 드러난 바와 같이, 유심(USIM) 고유식별정보, 인증키 등 신원 인증에 활용되는 정보가 유출될 경우, 금융사기 등 2차 피해로 이어질 가능성이 매우 높음에도, 개인정보처리자의 늑장 대응으로 인해 개인정보 유출 사실이 정보주체에게 뒤늦게 통지되는 사례가 발생하고 있음.   

  이에, 유출된 개인정보의 위험성이 크고 신속한 대응이 필요한 경우에는 피해자의 특정 여부와 관계없이, 개인정보처리자가 유출 우려가 있는 개인정보주체 전원에게 이를 개별 통지하도록 의무화하고, 그 대상이 되는 개인정보의 기준을 개인정보보호위원회 고시로 정하도록 함으로써 ‘제2의 SKT 해킹 사태’와 같은 사고 발생 시에도 개인정보 처리자와 정보주체의 신속한 대응이 가능하도록 해 개인정보 자기결정권을 실질적으로 보호하고자 함(안 제34조제2항 신설 등).",7742,20250709
7,2211381,개인정보 보호법 일부개정법률안 (인요한의원 등 13인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 개인정보 유출 시 유출된 항목, 시점, 대응 조치 등 법정사항을 정보주체에게 개별적으로 통지하도록 정하면서 예외적인 경우 홈페이지 공지로 이를 갈음할 수 있도록 하고 있음.

  그러나 유출된 개인정보의 정보주체를 특정할 수 없는 경우에 개인정보가 유출된 사실을 홈페이지 공지로 갈음하도록 하는 것은 정보주체가 본인의 개인정보 유출 여부를 신속히 파악하기 어렵게 하고, 적절한 대응조치를 취할 기회를 놓치게 만들어 개인정보보호에 미흡하다는 지적이 있음.

  이에 대통령령으로 정하는 규모 이상의 정보주체에 관한 개인정보가 유출이 된 경우로서 유출이 된 개인정보의 정보주체를 특정할 수 없는 경우에는 유출이 확인되었거나 유출의 가능성이 있는 모든 정보주체에게 법정 통지사항을 개별적으로 통지할 것을 의무화하여 정보주체의 권리 보호를 강화하고, 개인정보처리자의 책임 있는 대응을 유도하려는 것임(안 제34조제2항 신설 등).",5213,20250709
8,2211311,개인정보 보호법 일부개정법률안 (김우영의원 등 16인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 개인정보처리자로 하여금 고유식별정보가 분실ㆍ도난ㆍ유출ㆍ위조ㆍ변조 또는 훼손되지 아니하도록 암호화 조치를 통하여 안전하게 보관하도록 규정하고 있으며, 필요한 사항에 대하여 대통령령으로 정하는 바에 따르도록 하고 있음.

  그런데 이동통신 서비스에서 필수적 정보인 범용 가입자식별모듈에 연계된 정보의 경우 암호화 조치가 의무화되어 있지 않아 가입자식별모듈 침해사고가 발생한 경우 정보주체를 침해 피해로부터 법적으로 보호할 수 있는 근거가 미비함.

  이에 개인정보의 암호화 조치 의무화 대상에 가입자식별모듈정보 등 필수적인 개인정보를 규정하여 정보주체의 개인정보를 보다 안전하게 보호하려는 것임(안 제29조).",6958,20250707
9,2210936,개인정보 보호법 일부개정법률안 (최민희의원 등 12인),의원,정무위원회,"제안이유 및 주요내용



  현행법은 개인정보 유출 시 유출된 항목, 시점, 대응 조치 등 법정사항을 정보주체에게 개별적으로 통지하도록 정하면서 예외적인 경우 홈페이지 공지로 이를 갈음할 수 있도록 하고 있음.  

  그러나, 개인정보처리자가 유출 사고에도 불구하고 법정 사항에 대한 개별적 통지 없이 홈페이지에 간략한 안내만을 게시한 것은 본인의 개인정보 유출 여부를 신속히 파악하기 어렵게 하고, 적절한 대응조치를 취할 기회를 놓치게 만들어 추가적인 유출 위험에 취약하다는 지적이 있음.

  이에 유출된 개인정보의 정보주체를 특정할 수 없고, 유출 규모가 대통령령으로 정한 기준 이상일 경우에는 유출등이 확인된 정보주체 및 유출의 가능성이 있는 모든 정보주체에게 법정 통지사항을 개별적으로 통지할 것을 의무화하여 정보주체의 권리 보호를 강화하고, 개인정보처리자의 책임 있는 대응을 유도하려는 것임(안 제34조제2항 신설 등).",6564,20250619
10,2210795,개인정보 보호법 일부개정법률안 (이헌승의원 등 13인),의원,정무위원회,"제안이유 및 주요내용



  「정보통신망 이용촉진 및 정보보호 등에 관한 법률」은 해킹ㆍ악성코드 등으로 인한 보안침해 사고 발생 시 24시간 이내에 관계 기관에 신고하도록 의무를 규정하고 있는 반면, 현행법령은 개인정보 유출 등의 사고가 일어난 경우 그 유출을 인지한 때로부터 72시간 이내에 신고하도록 정하여 제도상 신고 기한의 불일치가 발생하고 있음.

  이로 인해 운영 주체가 동일하거나 유사한 사고에 대하여 서로 다른 신고 기준을 적용받게 되어, 현장 혼선과 불필요한 행정 부담이 가중될 우려가 있음.

  또한, 현행법은 대통령령에서 정하고 있는 신고기한인 72시간을 초과하여 신고하는 경우에 대한 명확한 제재 규정이 없어 신고 의무를 실효성 있게 담보하기 어렵다는 지적이 있음.

  이에 개인정보 유출ㆍ침해 사고를 인지한 때로부터 24시간 이내에 관계 기관에 신고하도록 의무를 강화하고, 이행하지 아니할 경우 과태료를 부과할 수 있도록 하여 법체계의 일관성을 확보하고, 개인정보 처리자의 책임 의식을 제고하여 국민의 개인정보 보호 수준을 실질적으로 강화하려는 것임(안 제34조제3항).",5514,20250613
